S.no,Module_name,Test case ID,Test Case Title,Test Steps,Expected Results,Actual Results,Test Data,"Status
",Date,Comments
1,Release 8.1.2 Test Cases>Client Change Status,,"Check Change Ticket Status from Open to Close,
Agent as Client ","1. Login As Agent (with/without Close Status permissions)
2. Go to Homepage , View My Tickets 
3. Click on View Ticket 
4. Change Status of Tickets ",Ticket Status Should Change to Close with proper alert ,,,,,
2,Release 8.1.2 Test Cases>Client Change Status,,"Check Change Ticket Status from Close to Close,
Agent as Client ","1. Login As Agent (with/without Close Status permissions)
2. Go to Homepage , View My Tickets 
3. Click on View Ticket 
4. Change Status of Tickets ",Ticket Status Should Change to Close with proper alert ,,,,,
3,Release 8.1.2 Test Cases>Client Change Status,,"Check Change Ticket Status from Delete to Close, Agent as Client","1. Login As Agent (with/without Close Status permissions)
2. Go to Homepage , View My Tickets 
3. Click on View Ticket 
4. Change Status of Tickets ",Ticket Status Should Change to Close with proper alert ,,,,,
4,Release 8.1.2 Test Cases>Client Change Status,,"Check Change Ticket Status from Spam to Close , Agent as Client","1. Login As Agent(with/without Close Status permissions)
2. Go to Homepage , View My Tickets 
3. Click on View Ticket 
4. Change Status of Tickets ",Ticket Status Should Change to Close with proper alert ,,,,,
5,Release 8.1.2 Test Cases>Client Change Status,,"Check Change Ticket Status from Open to Delete, Agent as Client","1. Login As Agent (with/without Delete Status permissions)
2. Go to Homepage , View My Tickets 
3. Click on View Ticket 
4. Change Status of Tickets ",Ticket Status Should Change to Delete with proper alert ,,,,,
6,Release 8.1.2 Test Cases>Client Change Status,,"Check Change Ticket Status from Close to Delete, Agent as Client","1. Login As Agent (with/without Delete Status permissions)
2. Go to Homepage , View My Tickets 
3. Click on View Ticket 
4. Change Status of Tickets ",Ticket Status Should Change to Delete with proper alert ,,,,,
7,Release 8.1.2 Test Cases>Client Change Status,,"Check Change Ticket Status from Delete to Delete, Agent as Client","1. Login As Agent (with/without Delete Status permissions)
2. Go to Homepage , View My Tickets 
3. Click on View Ticket 
4. Change Status of Tickets ",Ticket Status Should Change to Delete with proper alert ,,,,,
8,Release 8.1.2 Test Cases>Client Change Status,,"Check Change Ticket Status from Spam to Delete, Agent as Client","1. Login As Agent (with/without Delete Status permissions)
2. Go to Homepage , View My Tickets 
3. Click on View Ticket 
4. Change Status of Tickets ",Ticket Status Should Change to Delete with proper alert ,,,,,
9,Release 8.1.2 Test Cases>Client Change Status,,"Check Change Ticket Status from Open to Open, Agent as Client","1. Login As Agent (with/without Re-Open Status permissions)
2. Go to Homepage , View My Tickets 
3. Click on View Ticket 
4. Change Status of Tickets ",Ticket Status Should Change to Open with proper alert ,,,,,
10,Release 8.1.2 Test Cases>Client Change Status,,"Check Change Ticket Status from Close to Open, Agent as Client","1. Login As Agent (with/without Re-Open Status permissions)
2. Go to Homepage , View My Tickets 
3. Click on View Ticket 
4. Change Status of Tickets ",Ticket Status Should Change to Open with proper alert ,,,,,
11,Release 8.1.2 Test Cases>Client Change Status,,"Check Change Ticket Status from Deleted to Open, Agent as Client","1. Login As Agent (with/without Re-Open Status permissions)
2. Go to Homepage , View My Tickets 
3. Click on View Ticket 
4. Change Status of Tickets ",Ticket Status Should Change to Open with proper alert ,,,,,
12,Release 8.1.2 Test Cases>Client Change Status,,"Check Change Ticket Status from Spam to Open, Agent as Client","1. Login As Agent (with/without Re-Open Status permissions)
2. Go to Homepage , View My Tickets 
3. Click on View Ticket 
4. Change Status of Tickets ",Ticket Status Should Change to Open with proper alert ,,,,,
13,Release 8.1.2 Test Cases>Client Change Status,,"Check for Change Ticket Status for Multiple Tickets , Agent as Client","1. Login As Agent 
2. Go to Homepage , View My Tickets 
3. Change Status of Multiple Tickets ",Ticket Status Should Change with proper alert ,,,,,
14,Release 8.1.2 Test Cases>Client Change Status,,"Check for Change Ticket Status for Single Tickets and Multiple Tickets , Agent as Client","1. Login As Agent 
2. Go to Homepage , View My Tickets 
3. Check the Ticket IDs to Change the Status using Inspect . 
4. Use the change status api in postman and Check for Return Message ",Return Message should be same as web and the ticket status should be Changed on web,,"API : public/v3/ticket/change-status/ticket_id/status_id


Payload to add in Postman Body : panel = Client

",,,
15,Release 8.1.2 Test Cases>Client Change Status,,"Change status a single ticket-Open to close ,Agent(With Permissions)","1. Login as Agent with close ticket Permission
2. Go to Inbox 
3. Click on View Ticket
4. Change the Status of the Ticket from Open to Close",Ticket Status Should Change with proper alert,,,,,
16,Release 8.1.2 Test Cases>Client Change Status,,"Change status a single ticket-Open to spam,Agent(With Permissions)","1. Login as Agent
2. Go to Inbox
3 Click on View Ticket
4. Change the Status of the Ticket from open to Spam",Ticket Status Should Change with proper alert,,,,,
